GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,GNOTES,BK6001,BLG001,BLH001,BLI001,BLI002,BLI003,BLI004,BLI005,BLJ001,BLJ002,BLJ003,BLJ004,BLJ005,BLJ006,BLJ007,BLJ008,BLJ009,BLJ010,BLJ011,BLJ012,BLJ013,BLJ014,BLJ015,BLK001,BLK002,BLK003,BLK004,BLK005,BLK006,BLK007,BLK008,BLK009,BLK010,BLK011,BLK012,BLL001,BLM001,BLM002,BLM003,BLN001,BLN002,BLN003,BLN004,BLN005,BLN006,BLN007,BLN008,BLN009,BLN010,BLN011,BK7001,BK7002,BK7003,BK7004,BK7005,BK7006,BK7007,BK7008,BK7009,BK7010,BK7011,BK8001,BLA001,BLB001,BLB002,BLB003,BLC001,BLD001,BLE001,BLE002,BLE003,BLE004,BLE005,BLE006
"G3900350CC0017","1930","Ohio","39","Cuyahoga","035","CC","0017",,"Tract  CC0017     in Cleveland OH Area",,257,257,206,102,104,51,0,0,4,0,14,2,8,2,7,3,2,0,2,1,1,0,5,13,62,63,61,24,20,6,5,1,1,1,0,257,201,51,5,2,0,0,8,21,62,34,38,14,14,8,0,1,2,10,19,12,5,0,0,0,2,257,255,253,2,0,1,8,0,0,1,0,0,0
"G3900350CC0018","1930","Ohio","39","Cuyahoga","035","CC","0018",,"Tract  CC0018     in Cleveland OH Area","Includes tracts CC0018 CC0019",371,370,253,130,123,117,1,0,4,1,16,20,46,2,1,5,0,0,9,0,2,1,10,38,82,73,72,40,32,19,9,2,2,1,1,371,269,98,4,0,2,3,12,40,56,8,28,16,14,90,1,9,12,28,11,1,0,0,0,0,36,371,360,349,11,0,0,0,0,0,0,0,0,0
"G3900350CC0020","1930","Ohio","39","Cuyahoga","035","CC","0020",,"Tract  CC0020     in Cleveland OH Area",,484,484,275,68,207,209,0,0,6,1,16,73,88,5,3,1,8,1,1,0,2,0,4,12,91,111,101,79,45,25,12,3,4,1,0,484,307,176,1,0,0,1,2,61,171,47,15,6,2,2,0,8,11,47,85,22,2,0,0,0,1,484,397,320,69,8,0,0,0,0,0,0,0,0
"G3900350CC0021","1930","Ohio","39","Cuyahoga","035","CC","0021",,"Tract  CC0021     in Cleveland OH Area",,542,542,288,82,206,254,0,0,13,0,28,133,45,15,0,4,5,1,0,0,1,2,7,11,112,139,124,70,39,25,10,3,4,3,2,542,252,289,1,0,0,0,4,36,115,55,32,7,1,2,1,3,10,96,163,13,2,1,0,0,0,542,362,206,141,15,0,0,0,0,0,0,0,0
"G3900350CC0022","1930","Ohio","39","Cuyahoga","035","CC","0022",,"Tract  CC0022     in Cleveland OH Area",,151,150,86,31,55,64,1,0,2,0,8,25,2,0,1,0,0,1,0,0,19,2,4,7,24,34,29,15,12,11,9,3,4,2,1,151,55,95,1,0,3,4,4,12,15,4,5,2,0,6,0,16,15,33,26,3,0,0,0,0,2,151,130,114,12,4,1,11,0,0,0,0,0,1
"G3900350CC0023","1930","Ohio","39","Cuyahoga","035","CC","0023",,"Tract  CC0023     in Cleveland OH Area",,106,105,84,43,41,21,1,0,1,0,10,4,2,0,2,0,0,0,0,1,0,0,1,4,21,24,28,10,12,2,4,1,0,0,0,106,67,39,0,2,1,1,3,6,10,4,0,2,3,35,0,3,3,12,2,1,1,0,0,0,17,106,93,82,9,2,0,0,0,0,0,0,0,0
"G3900350CC0024","1930","Ohio","39","Cuyahoga","035","CC","0024",,"Tract  CC0024     in Cleveland OH Area",,100,100,60,22,38,40,0,0,1,0,9,5,14,1,3,1,0,0,2,0,2,1,1,4,24,22,15,20,6,6,3,0,0,0,0,100,76,23,1,0,13,6,4,10,22,8,2,0,0,11,0,0,3,9,6,3,0,0,0,0,2,100,99,98,1,0,0,0,0,0,0,0,0,0
"G3900350CC0025","1930","Ohio","39","Cuyahoga","035","CC","0025",,"Tract  CC0025     in Cleveland OH Area",,376,376,270,107,163,106,0,0,8,1,25,16,25,1,1,3,0,0,2,1,15,4,4,24,73,83,76,59,27,12,9,10,3,0,0,376,252,121,3,0,3,6,8,48,66,33,34,9,15,30,5,11,18,41,36,7,0,0,0,0,3,376,372,369,2,1,1,7,0,0,0,0,0,1
"G3900350CC0026","1930","Ohio","39","Cuyahoga","035","CC","0026",,"Tract  CC0026     in Cleveland OH Area",,166,166,101,43,58,65,0,0,1,0,7,7,33,5,6,0,0,0,0,1,2,0,3,5,39,33,30,25,17,5,6,1,5,0,0,166,116,47,3,0,0,0,5,6,19,11,8,1,5,61,0,2,1,12,7,0,0,0,0,0,25,166,163,160,3,0,0,0,0,0,0,0,0,0
"G3900350CC0027","1930","Ohio","39","Cuyahoga","035","CC","0027",,"Tract  CC0027     in Cleveland OH Area",,341,341,260,159,101,81,0,0,8,0,15,16,19,1,2,3,0,1,1,0,2,5,8,30,84,83,48,45,24,9,7,6,2,2,1,341,218,122,1,1,1,2,10,19,36,18,30,14,20,67,9,4,17,28,27,8,2,2,0,0,25,341,330,320,9,1,1,31,0,0,0,1,0,0
