GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,GNOTES,BK6001,BLG001,BLH001,BLI001,BLI002,BLI003,BLI004,BLI005,BLJ001,BLJ002,BLJ003,BLJ004,BLJ005,BLJ006,BLJ007,BLJ008,BLJ009,BLJ010,BLJ011,BLJ012,BLJ013,BLJ014,BLJ015,BLK001,BLK002,BLK003,BLK004,BLK005,BLK006,BLK007,BLK008,BLK009,BLK010,BLK011,BLK012,BLL001,BLM001,BLM002,BLM003,BLN001,BLN002,BLN003,BLN004,BLN005,BLN006,BLN007,BLN008,BLN009,BLN010,BLN011,BK7001,BK7002,BK7003,BK7004,BK7005,BK7006,BK7007,BK7008,BK7009,BK7010,BK7011,BK8001,BLA001,BLB001,BLB002,BLB003,BLC001,BLD001,BLE001,BLE002,BLE003,BLE004,BLE005,BLE006
"G3900350GH0001","1930","Ohio","39","Cuyahoga","035","GH","0001",,"Tract  GH0001     in Cleveland OH Area",,596,596,364,164,200,232,0,0,45,1,28,42,29,6,11,4,6,6,2,0,34,4,14,6,118,138,123,115,49,24,9,6,5,3,0,596,358,230,8,0,0,0,3,39,199,72,29,7,4,5,1,2,2,4,181,36,0,0,0,0,4,596,506,427,73,6,0,0,0,0,0,0,0,0
"G3900350GH0002","1930","Ohio","39","Cuyahoga","035","GH","0002",,"Tract  GH0002     in Cleveland OH Area",,458,458,249,82,167,209,0,0,22,0,33,72,30,11,2,13,2,2,0,0,13,7,2,3,83,118,110,78,30,13,10,7,4,2,0,458,269,168,21,0,1,1,1,21,106,90,40,7,2,0,1,1,5,9,114,38,0,0,0,0,0,458,386,316,68,2,0,0,0,0,0,0,0,0
"G3900350GH0003","1930","Ohio","39","Cuyahoga","035","GH","0003",,"Tract  GH0003     in Cleveland OH Area",,391,391,288,110,178,103,0,0,33,5,14,10,22,5,0,1,1,0,1,1,3,3,4,7,67,93,101,61,37,12,10,2,0,0,1,391,283,107,1,0,0,1,0,1,15,176,71,11,8,0,0,1,0,3,62,35,3,1,0,0,2,391,351,317,31,3,0,0,0,0,0,0,0,0
"G3900350GH0004","1930","Ohio","39","Cuyahoga","035","GH","0004",,"Tract  GH0004     in Cleveland OH Area",,553,552,303,121,182,249,1,0,33,5,24,37,31,29,2,0,15,0,1,0,48,7,17,7,94,124,121,90,54,30,17,6,5,5,0,553,333,216,4,0,0,0,1,17,168,105,35,4,1,2,0,0,0,23,168,21,1,2,0,0,1,553,505,459,44,2,0,0,0,0,0,0,0,0
"G3900350GH0005","1930","Ohio","39","Cuyahoga","035","GH","0005",,"Tract  GH0005     in Cleveland OH Area",,490,487,294,138,156,193,3,0,20,2,21,52,36,1,13,18,0,7,1,0,10,4,8,7,73,134,101,70,37,29,23,9,4,3,0,490,378,111,1,0,9,15,12,42,123,107,54,11,5,0,1,0,2,18,68,21,1,0,0,0,0,490,459,430,27,2,0,0,0,0,0,0,0,0
"G3900350GH0006","1930","Ohio","39","Cuyahoga","035","GH","0006",,"Tract  GH0006     in Cleveland OH Area",,594,594,368,156,212,226,0,0,15,2,25,61,43,4,8,12,1,5,5,0,31,3,11,9,95,122,135,109,58,27,16,17,2,3,1,594,401,191,2,0,2,0,2,19,144,161,45,18,10,0,0,2,1,22,130,36,0,0,0,0,0,594,554,515,38,1,1,86,0,0,1,0,0,0
"G3900350GH0007","1930","Ohio","39","Cuyahoga","035","GH","0007",,"Tract  GH0007     in Cleveland OH Area",,635,626,424,154,270,202,9,0,33,1,29,11,66,7,11,5,2,1,3,1,11,8,13,5,111,166,149,101,60,20,10,6,3,3,1,635,524,110,1,5,0,4,4,54,176,240,36,2,3,0,1,2,3,15,47,41,1,0,0,0,0,635,629,624,4,1,0,0,0,0,0,0,0,0
"G3900350MH0001","1930","Ohio","39","Cuyahoga","035","MH","0001",,"Tract  MH0001     in Cleveland OH Area",,914,912,587,279,308,325,1,1,34,4,25,7,130,6,19,60,1,2,7,0,12,6,12,16,155,208,220,146,75,47,26,15,3,2,1,914,711,202,1,3,2,4,13,39,299,235,80,15,18,3,0,1,7,32,117,44,0,0,0,0,1,914,893,873,19,1,2,10,0,0,1,0,0,1
"G3900350MH0002","1930","Ohio","39","Cuyahoga","035","MH","0002",,"Tract  MH0002     in Cleveland OH Area",,495,471,263,119,144,208,24,0,22,1,29,13,74,1,4,15,4,1,10,2,14,6,12,18,89,96,114,70,42,34,16,5,4,4,3,495,360,135,0,5,2,4,36,119,119,41,15,11,7,1,2,12,4,31,76,7,2,0,0,0,1,495,478,461,17,0,0,0,0,0,0,0,0,0
"G3900350PR0001","1930","Ohio","39","Cuyahoga","035","PR","0001",,"Tract  PR0001     in Cleveland OH Area",,811,811,570,276,294,241,0,0,28,1,59,18,39,16,16,8,7,1,6,2,10,8,22,16,164,202,182,132,49,36,15,9,2,4,0,811,578,206,27,2,0,2,10,56,242,157,51,26,16,16,2,10,5,27,106,34,4,0,0,0,18,811,771,731,40,0,0,0,0,0,0,0,0,0
"G3900350PR0002","1930","Ohio","39","Cuyahoga","035","PR","0002",,"Tract  PR0002     in Cleveland OH Area",,673,673,388,193,195,285,0,0,10,5,43,63,57,14,28,11,11,3,14,1,4,5,16,12,122,144,150,109,62,42,17,8,6,0,1,673,519,148,6,1,1,2,12,70,262,128,31,1,3,8,1,2,8,21,97,17,1,0,0,0,1,673,640,610,28,2,0,0,0,0,0,0,0,0
"G3900350PR0003","1930","Ohio","39","Cuyahoga","035","PR","0003",,"Tract  PR0003     in Cleveland OH Area",,545,545,319,141,178,226,0,0,7,4,27,33,38,14,30,17,11,2,17,0,8,5,13,16,97,114,117,86,53,28,14,8,6,3,3,545,428,116,1,3,4,4,14,90,179,69,58,4,3,0,2,4,5,16,72,17,0,0,0,0,0,545,523,505,15,3,2,459,0,0,0,2,0,0
"G3900350PR0004","1930","Ohio","39","Cuyahoga","035","PR","0004",,"Tract  PR0004     in Cleveland OH Area",,836,836,575,264,311,261,0,0,19,2,61,19,54,14,25,13,5,0,14,0,15,7,13,9,170,203,184,142,67,30,11,11,8,1,0,836,680,144,12,0,4,6,17,40,219,262,99,13,3,17,0,1,4,7,89,41,0,0,0,0,2,836,834,832,2,0,1,5,0,0,1,0,0,0
"G3900350PR0005","1930","Ohio","39","Cuyahoga","035","PR","0005",,"Tract  PR0005     in Cleveland OH Area",,239,239,114,52,62,125,0,0,8,1,14,20,23,4,18,7,4,5,1,1,2,1,16,9,45,45,52,36,21,14,10,5,1,1,0,239,173,64,2,1,9,11,9,47,48,12,7,5,7,17,3,1,3,18,29,5,0,0,0,0,5,239,231,224,6,1,0,0,0,0,0,0,0,0
"G3900350PR0006","1930","Ohio","39","Cuyahoga","035","PR","0006",,"Tract  PR0006     in Cleveland OH Area",,178,178,115,56,59,63,0,0,2,2,26,9,4,0,10,1,0,0,3,0,1,1,4,10,38,44,29,24,13,8,6,1,2,3,0,178,112,63,3,2,1,2,7,18,31,12,9,9,16,5,0,14,4,23,15,5,0,0,0,0,2,178,171,165,5,1,0,0,0,0,0,0,0,0
"G3900350RR0001","1930","Ohio","39","Cuyahoga","035","RR","0001",,"Tract  RR0001     in Cleveland OH Area",,736,736,616,398,218,120,0,0,34,2,31,0,5,2,5,0,0,0,0,1,8,18,14,21,175,209,181,94,27,17,4,5,2,0,1,736,540,196,0,0,0,0,2,14,29,24,163,134,170,4,0,1,3,35,100,22,19,16,0,0,0,736,694,673,15,6,1,166,1,0,0,0,0,0
"G3900350RR0002","1930","Ohio","39","Cuyahoga","035","RR","0002",,"Tract  RR0002     in Cleveland OH Area",,710,710,512,323,189,198,0,0,49,0,32,0,6,1,4,3,0,0,2,1,6,29,65,21,147,181,176,98,49,24,8,1,2,1,2,710,459,251,0,1,0,2,14,24,94,95,141,24,22,42,1,4,7,31,92,90,13,1,1,0,11,710,679,655,20,4,2,40,0,0,0,1,0,1
"G3900350U0008","1930","Ohio","39","Cuyahoga","035","U","0008",,"Tract  U0008      in Cleveland OH","Tract is not found in NHGIS boundary files",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G3900350U0009","1930","Ohio","39","Cuyahoga","035","U","0009",,"Tract  U0009      in Cleveland OH","Tract is not found in NHGIS boundary files",160,160,95,46,49,65,0,0,13,2,7,8,11,1,8,4,0,1,3,0,2,1,4,9,37,28,25,30,10,9,3,4,4,0,1,160,128,32,0,3,6,7,11,35,38,22,5,0,0,1,3,6,3,6,13,1,0,0,0,0,0,160,158,156,2,0,0,0,0,0,0,0,0,0
"G3900350V0001","1930","Ohio","39","Cuyahoga","035","V","0001",,"Tract  V0001      in Cleveland OH","Tract is not found in NHGIS boundary files",11,11,8,4,4,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,0,0,11,6,4,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,11,10,9,1,0,0,0,0,0,0,0,0,0
"G3900350V0002","1930","Ohio","39","Cuyahoga","035","V","0002",,"Tract  V0002      in Cleveland OH","Tract is not found in NHGIS boundary files",211,73,41,24,17,32,138,0,8,0,1,1,11,4,4,1,0,0,0,0,1,1,0,6,58,39,37,24,19,13,5,4,5,0,1,211,178,31,2,26,23,23,31,48,19,5,1,0,0,2,1,5,10,9,5,0,1,0,0,0,0,211,209,207,2,0,0,0,0,0,0,0,0,0
"G3900350V0003","1930","Ohio","39","Cuyahoga","035","V","0003",,"Tract  V0003      in Cleveland OH","Tract is not found in NHGIS boundary files",118,113,68,41,27,45,5,0,5,0,5,0,10,11,7,0,0,0,0,0,1,2,4,8,23,20,26,18,10,10,0,2,1,0,0,118,104,12,2,1,3,4,12,36,36,6,4,1,1,0,0,2,4,3,3,0,0,0,0,0,0,118,117,116,1,0,0,0,0,0,0,0,0,0
"G3900930LC0001","1930","Ohio","39","Lorain","093","LC","0001",,"Tract  LC0001     in Cleveland OH Area","Tract is not found in NHGIS boundary files",182,180,137,88,49,43,1,1,21,2,4,1,1,0,1,1,0,0,1,0,1,6,4,10,45,49,30,22,15,7,1,3,0,0,0,182,143,38,1,0,0,3,6,41,39,14,19,10,9,2,2,2,2,14,10,7,1,0,0,0,0,182,180,178,2,0,0,0,0,0,0,0,0,0
"G3900930LC0002","1930","Ohio","39","Lorain","093","LC","0002",,"Tract  LC0002     in Cleveland OH Area","Tract is not found in NHGIS boundary files",555,542,317,212,105,225,13,0,16,2,24,7,7,1,4,3,2,7,2,0,132,9,9,29,93,115,94,86,62,30,22,12,5,5,2,555,355,198,2,0,8,15,46,80,90,50,34,9,13,10,2,9,21,85,72,6,1,0,0,0,2,555,500,460,30,10,1,22,0,0,1,0,0,0
"G3900930LC0003","1930","Ohio","39","Lorain","093","LC","0003",,"Tract  LC0003     in Cleveland OH Area","Tract is not found in NHGIS boundary files",21,21,17,4,13,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,6,5,3,1,3,1,0,0,0,0,0,21,17,3,1,0,1,0,0,0,1,0,8,1,5,1,0,0,0,1,0,0,2,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0
"G3900930LC0004","1930","Ohio","39","Lorain","093","LC","0004",,"Tract  LC0004     in Cleveland OH Area","Tract is not found in NHGIS boundary files",981,978,771,498,273,207,3,0,35,4,43,8,7,15,15,11,2,2,3,0,10,25,27,79,271,219,182,98,77,30,12,8,1,3,1,981,676,298,7,3,27,30,88,179,158,27,47,12,41,64,3,24,46,84,81,12,5,0,0,0,43,981,978,976,1,1,0,0,0,0,0,0,0,0
"G3900930LC0005","1930","Ohio","39","Lorain","093","LC","0005",,"Tract  LC0005     in Cleveland OH Area","Tract is not found in NHGIS boundary files",1006,990,805,605,200,185,14,2,40,9,25,3,2,5,7,9,1,0,1,0,50,13,20,78,239,201,188,123,76,46,25,13,6,6,5,1006,567,417,22,0,4,4,18,88,185,106,79,40,38,5,9,18,13,94,209,55,7,2,2,0,8,1006,912,847,50,15,3,222,1,0,1,1,0,0
"G3900930LC0006","1930","Ohio","39","Lorain","093","LC","0006",,"Tract  LC0006     in Cleveland OH Area","Tract is not found in NHGIS boundary files",57,57,42,33,9,15,0,0,10,0,1,0,0,0,2,0,0,0,1,0,0,0,1,6,9,17,13,6,5,1,0,0,0,0,0,57,16,39,2,0,0,0,0,0,1,0,0,0,4,11,0,0,0,1,2,1,0,0,1,0,34,57,56,55,1,0,0,0,0,0,0,0,0,0
